State,Operating at start of quarter,Entries,Exits,Net movement of surviving businesses,Operating at end of quarter,Change,Percentage change,Entry rate,Exit rate
New South Wales," 797,459 "," 33,699 "," 25,559 ",-162," 805,437 ","7,978",1.0,4.2,3.2
Victoria," 640,887 "," 26,629 "," 20,470 ",-175," 646,871 ","5,984",0.9,4.2,3.2
Queensland," 449,243 "," 18,335 "," 13,910 ",255," 453,923 ","4,680",1.0,4.1,3.1
South Australia," 146,409 "," 5,060 "," 3,922 ",15," 147,562 ","1,153",0.8,3.5,2.7
Western Australia," 224,563 "," 9,063 "," 6,688 ",-14," 226,924 ","2,361",1.1,4.0,3.0
Tasmania," 39,767 "," 1,312 "," 1,066 ",57," 40,070 ",303,0.8,3.3,2.7
Northern Territory," 14,647 ", 627 , 499 ,-7," 14,768 ",121,0.8,4.3,3.4
Australian Capital Territory," 30,414 "," 1,484 "," 1,036 ",34," 30,896 ",482,1.6,4.9,3.4
Other Territories/Currently Unknown," 1,730 ", 89 , 84 ,-3," 1,732 ",2,,,
Australia," 2,345,119 "," 96,298 "," 73,234 ",0," 2,368,183 ","23,064",1.0,4.1,3.1
